macrorep,simulator,budget,comparison,delta_max_pairwise_score_ks,delta_mean_pairwise_score_ks,delta_bin_mean_score_range
3,mm1_sojourn,1000,oracle_minus_fixed,0.0,-0.0037777777777777827,-0.014477161293254465
3,raised_floor_gauss,100,plugin_sd_nw_minus_oracle,0.54,0.2395555555555556,0.13095927623865666
3,raised_floor_gauss,100,plugin_sd_nw_minus_fixed,0.19999999999999996,0.08933333333333338,0.013005908142083161
3,raised_floor_gauss,100,oracle_minus_fixed,-0.3400000000000001,-0.15022222222222223,-0.1179533680965735
3,raised_floor_gauss,250,plugin_sd_nw_minus_oracle,0.32,0.1302222222222222,0.08612764264096938
3,raised_floor_gauss,250,plugin_sd_nw_minus_fixed,0.08999999999999997,0.028222222222222176,-0.01618610991251976
3,raised_floor_gauss,250,oracle_minus_fixed,-0.23000000000000004,-0.10200000000000004,-0.10231375255348914
3,raised_floor_gauss,500,plugin_sd_nw_minus_oracle,0.21999999999999997,0.09244444444444447,0.050498776803705084
3,raised_floor_gauss,500,plugin_sd_nw_minus_fixed,-0.050000000000000044,0.002888888888888941,-0.038058627604174056
3,raised_floor_gauss,500,oracle_minus_fixed,-0.27,-0.08955555555555553,-0.08855740440787914
3,raised_floor_gauss,1000,plugin_sd_nw_minus_oracle,0.19,0.06155555555555556,0.02481792456025199
3,raised_floor_gauss,1000,plugin_sd_nw_minus_fixed,-0.09000000000000002,-0.032444444444444415,-0.07061160341068745
3,raised_floor_gauss,1000,oracle_minus_fixed,-0.28,-0.09399999999999997,-0.09542952797093944
3,raised_floor_t3,100,plugin_sd_nw_minus_oracle,0.24,0.17088888888888887,0.10695533852874967
3,raised_floor_t3,100,plugin_sd_nw_minus_fixed,0.050000000000000044,0.023555555555555496,-0.022178943522368127
3,raised_floor_t3,100,oracle_minus_fixed,-0.18999999999999995,-0.14733333333333337,-0.1291342820511178
3,raised_floor_t3,250,plugin_sd_nw_minus_oracle,0.18,0.10088888888888886,0.05040337164101405
3,raised_floor_t3,250,plugin_sd_nw_minus_fixed,-0.12,-0.04155555555555557,-0.08214133932909995
3,raised_floor_t3,250,oracle_minus_fixed,-0.3,-0.14244444444444443,-0.132544710970114
3,raised_floor_t3,500,plugin_sd_nw_minus_oracle,0.16999999999999998,0.09911111111111115,0.07170547107711533
3,raised_floor_t3,500,plugin_sd_nw_minus_fixed,-0.10999999999999999,-0.040000000000000036,-0.07488316449934848
3,raised_floor_t3,500,oracle_minus_fixed,-0.27999999999999997,-0.13911111111111119,-0.14658863557646382
3,raised_floor_t3,1000,plugin_sd_nw_minus_oracle,0.12000000000000005,0.05600000000000005,0.02906637985055721
3,raised_floor_t3,1000,plugin_sd_nw_minus_fixed,-0.21999999999999997,-0.07888888888888895,-0.10392889267826438
3,raised_floor_t3,1000,oracle_minus_fixed,-0.34,-0.134888888888889,-0.1329952725288216
4,mm1_sojourn,100,plugin_sd_nw_minus_oracle,-0.11000000000000001,-0.03311111111111109,0.007126947118836005
4,mm1_sojourn,100,plugin_sd_nw_minus_fixed,-0.18999999999999997,-0.09822222222222216,-0.07645232837817693
4,mm1_sojourn,100,oracle_minus_fixed,-0.07999999999999996,-0.06511111111111106,-0.08357927549701294
4,mm1_sojourn,250,plugin_sd_nw_minus_oracle,0.13,0.026222222222222244,0.023771449863522143
4,mm1_sojourn,250,plugin_sd_nw_minus_fixed,0.1,0.013333333333333364,-0.013242664462462028
4,mm1_sojourn,250,oracle_minus_fixed,-0.03,-0.01288888888888888,-0.03701411432598417
4,mm1_sojourn,500,plugin_sd_nw_minus_oracle,0.09000000000000002,0.022888888888888875,0.020300488553311735
4,mm1_sojourn,500,plugin_sd_nw_minus_fixed,0.020000000000000018,0.010888888888888892,-0.01317357104155678
4,mm1_sojourn,500,oracle_minus_fixed,-0.07,-0.011999999999999983,-0.033474059594868516
4,mm1_sojourn,1000,plugin_sd_nw_minus_oracle,-0.009999999999999981,0.005111111111111122,0.0003037674823703346
4,mm1_sojourn,1000,plugin_sd_nw_minus_fixed,-0.009999999999999981,-0.008666666666666628,-0.010684972327939649
4,mm1_sojourn,1000,oracle_minus_fixed,0.0,-0.01377777777777775,-0.010988739810309983
4,raised_floor_gauss,100,plugin_sd_nw_minus_oracle,0.24999999999999994,0.19355555555555543,0.11321547207058918
4,raised_floor_gauss,100,plugin_sd_nw_minus_fixed,-0.010000000000000009,0.03555555555555545,-0.026835265376486783
4,raised_floor_gauss,100,oracle_minus_fixed,-0.25999999999999995,-0.15799999999999997,-0.14005073744707597
