seed,dgp,arm,cov,size,ncomp,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9
20260944,gamma_ls,pcp_scaled,0.8975,1.1278,3.995,0.9100,0.8789,0.8259,0.9485,0.9424,0.8906,0.9073,0.8796,0.8474,0.9437
20260945,gamma_ls,ET,0.8805,0.9206,1.000,0.8370,0.8525,0.8238,0.8469,0.9398,0.8714,0.9219,0.8667,0.8865,0.9552
20260945,gamma_ls,pcp,0.8890,1.0826,5.418,0.8696,0.8415,0.9190,0.8565,0.9120,0.8905,0.8802,0.8857,0.9081,0.9204
20260945,gamma_ls,pcp_scaled,0.8775,1.0605,5.192,0.8641,0.8142,0.8857,0.8373,0.9167,0.8810,0.8802,0.8571,0.9081,0.9254
20260946,gamma_ls,ET,0.9025,0.9516,1.000,0.9511,0.8815,0.8318,0.9163,0.9760,0.9665,0.7828,0.8644,0.9268,0.9274
20260946,gamma_ls,pcp,0.9170,1.1328,3.785,0.9022,0.9147,0.9159,0.9349,0.9183,0.9426,0.9091,0.9209,0.9122,0.8939
20260946,gamma_ls,pcp_scaled,0.9195,1.1444,3.591,0.9185,0.9147,0.9112,0.9302,0.9327,0.9474,0.9091,0.9096,0.9171,0.8994
20260947,gamma_ls,ET,0.9080,0.9244,1.000,0.8730,0.9204,0.9019,0.8657,0.8910,0.9502,0.9559,0.8989,0.9053,0.9184
20260947,gamma_ls,pcp,0.9060,1.1157,4.984,0.9312,0.9005,0.8925,0.8889,0.8863,0.9303,0.9118,0.9101,0.8947,0.9184
20260947,gamma_ls,pcp_scaled,0.9030,1.1075,4.643,0.9259,0.8856,0.8879,0.9074,0.8863,0.9303,0.9167,0.9101,0.8789,0.9031
20260948,gamma_ls,ET,0.9260,1.0233,1.000,0.9545,0.8995,0.9524,0.9055,0.9293,0.9303,0.9548,0.8684,0.9249,0.9402
20260948,gamma_ls,pcp,0.9050,1.1172,3.438,0.9343,0.8945,0.9101,0.9005,0.8889,0.8905,0.8927,0.9105,0.9202,0.9060
20260948,gamma_ls,pcp_scaled,0.9100,1.1315,3.782,0.9343,0.8894,0.9101,0.9055,0.9091,0.9005,0.8983,0.9158,0.9249,0.9103
20260949,gamma_ls,ET,0.8900,0.9081,1.000,0.8373,0.9081,0.9087,0.8557,0.8720,0.8639,0.9497,0.9375,0.9347,0.8390
20260949,gamma_ls,pcp,0.9260,1.1425,4.399,0.8900,0.9189,0.9279,0.9254,0.9336,0.9162,0.9548,0.9375,0.9598,0.8976
20260949,gamma_ls,pcp_scaled,0.9125,1.1173,4.144,0.8804,0.9243,0.9279,0.9055,0.9052,0.8901,0.9447,0.9375,0.9447,0.8683
20261000,hetero_gauss,ET,0.9100,2.5921,1.000,0.9101,0.8608,0.8905,0.8763,0.9612,0.9806,0.9267,0.9045,0.9216,0.8651
20261000,hetero_gauss,pcp,0.9210,3.1515,2.644,0.7725,0.8918,0.9524,0.9946,0.9951,1.0000,0.9948,0.9548,0.8922,0.7674
20261000,hetero_gauss,pcp_scaled,0.9040,3.0644,4.013,0.9101,0.8814,0.9048,0.8978,0.9126,0.9466,0.9319,0.9246,0.8971,0.8372
20261001,hetero_gauss,ET,0.8935,2.5438,1.000,0.9115,0.9293,0.7435,0.8675,0.9749,0.9433,0.9096,0.8970,0.8535,0.8821
20261001,hetero_gauss,pcp,0.9215,3.1429,3.084,0.7917,0.9293,0.9215,1.0000,0.9958,0.9948,0.9887,0.9528,0.8535,0.7925
20261001,hetero_gauss,pcp_scaled,0.9120,3.2217,4.212,0.9479,0.9596,0.8691,0.8855,0.9289,0.9072,0.9548,0.9056,0.8687,0.8915
20261002,hetero_gauss,ET,0.8965,2.3728,1.000,0.7732,0.8974,0.9023,0.8866,0.9712,0.9713,0.8736,0.9662,0.8859,0.8255
20261002,hetero_gauss,pcp,0.8935,2.8139,3.898,0.7062,0.8103,0.9488,0.9794,1.0000,0.9952,0.9780,0.9662,0.7935,0.7453
20261002,hetero_gauss,pcp_scaled,0.8830,3.0835,4.428,0.7835,0.8821,0.9070,0.9330,0.8750,0.8038,0.8956,0.9565,0.8750,0.9151
20261003,hetero_gauss,ET,0.8935,2.6138,1.000,0.8894,0.8876,0.8381,0.8564,0.9842,0.9663,0.9238,0.9175,0.7915,0.8952
20261003,hetero_gauss,pcp,0.9095,3.0608,2.829,0.7699,0.8989,0.9000,0.9834,0.9947,1.0000,0.9810,0.9612,0.8720,0.7762
20261003,hetero_gauss,pcp_scaled,0.8975,3.0005,3.784,0.8363,0.9101,0.8524,0.9061,0.9526,0.8764,0.9286,0.9417,0.9005,0.8810
20261004,hetero_gauss,ET,0.9100,2.5619,1.000,0.9163,0.9400,0.8718,0.8789,0.9652,0.9840,0.9574,0.8762,0.8768,0.8468
20261004,hetero_gauss,pcp,0.8890,2.8222,3.264,0.6502,0.8600,0.9282,0.9421,0.9950,1.0000,0.9894,0.9604,0.8673,0.7342
20261004,hetero_gauss,pcp_scaled,0.8580,2.8332,5.362,0.7833,0.8850,0.9026,0.8579,0.7612,0.8830,0.8936,0.9257,0.8768,0.8198
20261005,hetero_gauss,ET,0.8535,2.1114,1.000,0.8259,0.8090,0.8470,0.9167,0.9822,0.9641,0.8390,0.8333,0.7655,0.7474
20261005,hetero_gauss,pcp,0.8545,2.4528,4.071,0.5970,0.7889,0.9235,0.9844,0.9956,0.9949,0.9659,0.8500,0.8274,0.6082
20261005,hetero_gauss,pcp_scaled,0.8410,2.6922,5.458,0.8159,0.8442,0.8907,0.9167,0.8133,0.7846,0.8878,0.8222,0.8717,0.7629
20261006,hetero_gauss,ET,0.9085,2.5772,1.000,0.9037,0.9249,0.9021,0.8984,0.9539,0.9771,0.8679,0.9259,0.8606,0.8743
20261006,hetero_gauss,pcp,0.8935,2.7965,3.562,0.7005,0.8638,0.9536,0.9519,0.9954,1.0000,0.9623,0.9537,0.8558,0.6806
